DUB,Substrate,label,Ubibrowser2,Ubibrowser2_domain_motif,TransDSI
Q70CQ1,Q13451,1,1.5,1.5,0.58720827996730804
Q9Y4E8,O15111,1,9.0228,4.38,0.6880680918693542
Q9Y4E8,O43541,1,4.6,1.0,0.9107231497764587
Q9Y4E8,P21796,1,2.21,1.0,0.9729374051094055
Q9Y4E8,P25054,1,14.9026,5.54,0.9923028945922852
Q9Y4E8,P35222,1,66.852864,14.2848,0.8182526230812073
Q9Y4E8,P36894,1,23.3376,4.29,0.8406127095222473
Q9Y4E8,P36897,1,21.8214,4.49,0.9001036882400513
Q9Y4E8,P42574,1,6.069,2.38,0.6873285174369812
Q9Y4E8,P51449,1,15.6372,3.14,0.7078555822372437
Q9Y4E8,P62807,1,17.723,4.79,0.9791312217712402
Q9Y4E8,P62877,1,5.41,1.0,0.20642690360546112
Q9Y4E8,P84022,1,4.86,1.0,0.9107231497764587
Q9Y4E8,Q00987,1,36.307915,9.7865,0.9758949875831604
Q9Y4E8,Q13127,1,3.6,1.0,0.9601936340332031
Q9Y4E8,Q14145,1,2.33,1.0,0.7023255228996277
Q9Y4E8,Q14258,1,14.9026,5.54,0.5720043778419495
Q9Y4E8,Q14494,1,9.9484,2.38,0.4482037425041199
Q9Y4E8,Q15020,1,9.0228,4.38,0.90029639303684235
Q9Y4E8,Q7Z569,1,6.069,2.38,0.5284132957458496
Q9Y4E8,Q8WWY3,1,4.9028,2.38,0.924075131863355637
Q9Y4E8,Q9HAU4,1,18.177,4.38,0.9356206059455872
Q9UK80,O95760,1,5.6406,2.38,0.037786975502967834
Q9UK80,O95786,1,24.941034,14.5854,0.9616690278053284
Q9UK80,P0C0S8,1,76.773,47.1,0.8706467151641846
Q9UK80,P23771,1,5.6406,2.38,0.5494781732559204
Q9UK80,P36507,1,5.2668,2.52,0.9026737809181213
Q9UK80,P51587,1,5.3865,3.15,0.8831948637962341
Q9UK80,Q13546,1,38.456208,7.912800000000001,0.9043880701065063
Q9UK80,Q86WV6,1,20.97144,13.797,0.7064216136932373
Q9UK80,Q9BZS1,1,27.431668,13.1252,0.9023642539978027
Q9UK80,Q9H9S0,1,16.537752,7.912800000000001,0.458913117647171
P09936,P09936,1,8.5995,1.17,0.045525923371315
P09936,Q16620,1,6.3,1.0,0.7939351201057434
P09936,Q16665,1,12.775,1.0,0.8408648371696472
P09936,Q92905,1,6.8856,1.0,0.005462226923555136
P09936,Q9NPH5,1,4.7151,1.17,0.9948967099189758
Q8NB14,Q9UHD2,1,3.1126,1.97,0.9197035431861877
O94782,O60346,1,22.205003,14.7053,0.9116451740264893
O94782,P12004,1,4.3105,1.85,0.5539262294769287
O94782,P41134,1,18.012316,11.4002,0.7391425967216492
O94782,Q02363,1,4.2705,1.17,0.7379176020622253
O94782,Q02535,1,11.3523,4.79,0.7308878898620605
O94782,Q9BXW9,1,15.04686,1.97,0.999268114566803
O94782,Q9NVI1,1,6.069,2.38,0.011133446358144283
P35125,P05412,1,12.3453,3.19,0.6939148902893066
P35125,P14780,1,10.769596,6.8162,0.804345428943634
Q92995,O75030,1,38.476185,17.8959,0.840045690536499
Q92995,Q07820,1,8.55855,1.17,0.9363409280776978
Q92995,Q14457,1,2.4453,1.17,0.9886159300804138
Q92995,Q86WV6,1,83.52105,38.847,0.8247738480567932
Q92995,Q96RL1,1,4.035,1.5,0.0036917373072355986
Q9Y6I4,O95786,1,11.4002,11.4002,0.9724463224411011
Q9Y6I4,P04637,1,82.566172,33.4276,0.993890643119812
Q9Y6I4,P0C0S8,1,176.311359,32.5899,0.9531509280204773
Q9Y6I4,P16104,1,36.322091,14.7053,0.9335858821868896
Q9Y6I4,P62807,1,39.405744,7.912800000000001,0.9766421318054199
Q9Y6I4,Q96RL1,1,3.1126,1.97,0.0030876656528562307
Q9Y6I4,Q9H9S0,1,78.34824,14.1168,0.5935325622558594
P51784,O14920,1,9.9864,6.57,0.9041315913200378
P51784,O15111,1,20.97144,13.797,0.9143649339675903
P51784,O43663,1,4.9742,2.38,0.9988096952438354
P51784,P04637,1,1052.69147648,56.729600000000005,0.867017388343811
P51784,P16104,1,29.140584,9.6492,0.8277766108512878
P51784,P25963,1,5.4963,1.97,0.5312644243240356
P51784,P29590,1,6.0228,2.52,0.6729424595832825
P51784,P35226,1,101.1428145,7.8741,0.6086371541023254
P51784,P36897,1,48.7792305,6.4350000000000005,0.8405807018280029
P51784,P37173,1,18.40374,6.8162,0.8981021046638489
P51784,P51587,1,4.9742,2.38,0.9999226331710815
P51784,P98170,1,2.04,1.5,0.8650591373443604
P51784,Q01831,1,14.3583,6.27,0.9995867609977722
P51784,Q14135,1,2.04,1.5,0.0004553098406177014
P51784,Q92633,1,16.8492,11.085,0.7965466380119324
P51784,Q96S59,1,169.40826672,18.3736,0.9874417781829834
P21580,O43353,1,430.8206544,45.464400000000005,0.895680844783783
P21580,P04637,1,22.52301,1.97,0.9602406024932861
P21580,P19838,1,79.223412,33.4276,0.9002073407173157
P21580,Q12933,1,285.5475,77.175,0.8955221176147461
P21580,Q13137,1,4.469,1.0,0.06004474312067032
P21580,Q13546,1,33.20031,7.085000000000001,0.7810338139533997
P21580,Q14457,1,2.88,1.0,0.996423065662384
P21580,Q14790,1,14.22603,1.17,0.4341956675052643
P21580,Q92985,1,11.433,1.0,0.8019763827323914
P21580,Q9Y4K3,1,179.6012988,31.9121,0.8851571083068848
P21580,Q9Y6K9,1,14.4522,2.48,0.48552411794662476
Q86UV5,P08151,1,3.19,3.19,0.8233485817909241
Q86UV5,Q12933,1,23.16816,8.5808,0.9490073323249817
Q9BXU7,O43663,1,3.7604,2.38,0.9944635033607483
Q9BXU7,P0C0S8,1,23.234374,14.7053,0.8783172965049744
Q9BXU7,P10275,1,35.396592,19.3424,0.7427418231964111
Q9BXU7,Q00987,1,13.700562,6.8162,0.9922654032707214
Q9UHP3,O95271,1,3.1126,1.97,0.8232712745666504
Q9UHP3,P50991,1,10.3994,3.19,0.31891778111457825
Q9UHP3,Q13114,1,13.5342,6.57,0.9198317527770996
Q13107,O15530,1,47.7411,10.3785,0.8790184855461121
Q13107,O75365,1,9.0228,4.38,0.8428781032562256
Q13107,O95786,1,66.630487,17.959699999999998,0.9948652386665344
Q13107,P04637,1,1188.87058932,123.6938,0.9739935398101807
Q13107,P06400,1,198.5493642,19.5866,0.9981681108474731
Q13107,P15884,1,595.26316416,57.4656,0.9910990595817566
Q13107,P19474,1,5.8653,1.0,0.5343739986419678
Q13107,P28749,1,494.88556656,18.3736,0.999477207660675
Q13107,P35222,1,358.42977954,19.3158,0.9926441311836243
Q13107,P36897,1,53.864748,4.033,0.8406885266304016
Q13107,P49116,1,56.256896,28.9984,0.6891846060752869
Q13107,P51449,1,16.537752,7.912800000000001,0.8994189500808716
Q13107,P62937,1,5.44,1.0,0.04094882681965828
Q13107,Q02556,1,6.8585,3.19,0.9922612309455872
Q13107,Q08999,1,78.749568,11.3472,0.9999710321426392
Q13107,Q12933,1,317.47375968,18.3736,0.9410129189491272
Q13107,Q13107,1,16.42284,3.15,0.33075565099716187
Q13107,Q13546,1,68.673751,14.7053,0.9034560322761536
Q13107,Q15287,1,2.2464,1.17,0.15197569131851196
Q13107,Q15306,1,8.6025,1.85,0.9499334692955017
Q13107,Q9Y4K3,1,35.7408,6.57,0.9185051918029785
P54252,O60260,1,12.7596,1.0,0.66018609702587128
P54252,P04637,1,8.0878,1.0,0.9248787760734558
P54252,P55072,1,7.9709,1.0,0.1648280918598175
P54252,Q07812,1,4.76,1.0,0.9507696032524109
P54252,Q92934,1,5.44,1.0,0.8089955449104309
P54252,Q9UNE7,1,49.77,1.0,0.66711145639419556
Q9UPU5,P04637,1,82.566172,33.4276,0.8980352282524109
Q9UPU5,Q92466,1,10.769596,6.8162,0.722979724407196
Q5VVQ6,P17661,1,3.1126,1.97,0.027476048097014427
Q5VVQ6,P55072,1,5.8266,1.17,0.9868618249893188
Q5VVQ6,Q96J02,1,35.2928,13.12,0.69963538646698
P40818,O15554,1,5.4963,1.97,0.26187676191329956
P40818,O60260,1,10.9335,1.97,0.10576258599758148
P40818,O94979,1,4.53,1.5,0.7330283522605896
P40818,P00533,1,168.85562562,16.8751,0.7610538601875305
P40818,P04626,1,166.647456,17.9577,0.9102332592010498
P40818,P04629,1,82.61462,17.959699999999998,0.9175111651420593
P40818,P08581,1,593.025048,41.0256,0.913615882396698
P40818,P17302,1,35.8344,2.52,0.7099179029464722
P40818,P21860,1,740.9639664,23.2785,0.8498965501785278
P40818,P37088,1,5.9292,2.43,0.8487236499786377
P40818,P42261,1,20.516762,6.8162,0.9514029026031494
P40818,P55085,1,256.0212711,13.797,0.9862241744995117
P40818,P56817,1,8.4915,1.85,0.01883603446185589
P40818,Q16665,1,11.34,3.15,0.8872975707054138
P40818,Q6FHJ7,1,7.0056,2.52,0.6944351196289062
P40818,Q96J02,1,101.639916,7.912800000000001,0.9391140341758728
P40818,Q96JA1,1,19.630656,6.8162,0.7370045185089111
P40818,Q99835,1,70.9792,13.12,0.9688128232955933
P40818,Q9H4P4,1,4.74201,1.17,0.7017061114311218
Q9NQC7,O14640,1,47.232,13.12,0.9452424645423889
Q9NQC7,O15105,1,105.11212404,11.4002,0.7528785467147827
Q9NQC7,O43353,1,147.69415108,14.7053,0.9791989922523499
Q9NQC7,O95786,1,98.07706062,11.4002,0.9946057200431824
Q9NQC7,P04629,1,37.498515,14.7053,0.9557130932807922
Q9NQC7,P06239,1,122.236308,10.4155,0.9703481197357178
Q9NQC7,P20749,1,19.5138,1.85,0.799127459526062
Q9NQC7,P31749,1,41.23317,3.07,0.9544426798820496
Q9NQC7,P49116,1,22.835568,4.38,0.8425260186195374
Q9NQC7,P53350,1,10.1556,2.52,0.9443864226341248
Q9NQC7,P78352,1,11.718,3.15,0.9904850721359253
Q9NQC7,Q12933,1,91.5375285,17.8959,0.9519504308700562
Q9NQC7,Q13546,1,120.0874528,12.6728,0.9781746864318848
Q9NQC7,Q14669,1,30.292918,14.7053,0.995635449886322
Q9NQC7,Q6Q0C0,1,40.43915136,6.8162,0.2128489762544632
Q9NQC7,Q8NHQ1,1,11.37045,1.5,9.102684998651966e-05
Q9NQC7,Q9NPH5,1,2.21,1.0,0.9942131638526917
Q9NQC7,Q9NZN5,1,5.292,2.52,0.7847220301628113
Q9NQC7,Q9Y4K3,1,84.62566,22.8718,0.9134047627449036
Q9NQC7,Q9Y6K9,1,1195.94273664,96.9568,0.8007739186286926
Q9P275,P01106,1,69.921399,29.5027,0.46933189034461975
Q9P275,Q9H6R0,1,7.2329,4.79,0.08544589579105377
P15374,O15315,1,4.5507,1.97,0.8009751439094543
Q96G74,O00463,1,471.82016,35.4752,0.9522169828414917
Q96G74,O14737,1,2.7,1.0,0.10979454219341278
Q96G74,P04637,1,35.03448,1.97,0.9880266189575195
Q96G74,Q12933,1,1142.072862,65.5234,0.9823326468467712
Q96G74,Q13114,1,264.30173858,65.5234,0.9435927867889404
Q96G74,Q9Y4K3,1,564.60096,42.4512,0.9717257618904114
A6NNY8,O43521,1,1.58,1.0,0.0935467928647995
A6NNY8,P62807,1,18.012316,11.4002,0.9888446927070618
A6NNY8,Q14469,1,22.313775,10.3785,0.7421806454658508
Q6R6M4,P16104,1,19.4472,4.38,0.8265364170074463
Q96FW1,O95863,1,1.9071,1.17,0.8463347554206848
Q96FW1,P04637,1,132.49944,11.29,0.9977274537086487
Q96FW1,P10636,1,24.885,10.5,0.00014139935956336558
Q96FW1,P27694,1,2.565,1.5,0.0030507384799420834
Q96FW1,P61088,1,2.7,1.0,0.6119968891143799
Q96FW1,Q08050,1,3.9597,1.97,0.7536855340003967
Q96FW1,Q13114,1,148.5792,42.4512,0.9598312973976135
Q96FW1,Q13490,1,7.5725,3.25,0.814400851726532
Q96FW1,Q15796,1,21.55968,1.97,0.9499056339263916
Q96FW1,Q8TB45,1,2.21,1.0,0.911141574382782
Q96FW1,Q9Y4K3,1,108.758819,26.9873,0.8547037839889526
Q5VV17,O15105,1,1.58,1.0,0.8849808573722839
Q5VV17,P04637,1,3.8218,1.97,0.9965676069259644
Q9Y5K5,P25963,1,2.15,1.0,0.8819141983985901
Q9Y5K5,P35228,1,2.06,1.0,0.29444411396980286
Q9Y5K5,P36897,1,5.55,1.0,0.7386628985404968
Q9Y5K5,Q01094,1,2.15,1.0,0.05395049601793289
Q70EL2,P07992,1,5.4,1.5,0.12095669656991959
P54578,O14641,1,6.0452,2.38,0.8215348720550537
P54578,O14920,1,3.315,1.5,0.88396155834198
P54578,P10275,1,37.689636,15.9028,0.6932671070098877
P54578,P35222,1,161.80362,35.1747,0.8090518712997437
P54578,P61073,1,27.018474,11.4002,0.7030782699584961
P54578,Q14457,1,2.7963,1.17,0.9501491189002991
P54578,Q86WI3,1,27.431668,13.1252,0.9163901805877686
P54578,Q96GD4,1,2.457,1.17,0.9097841382026672
P54578,Q9NYJ8,1,5.292,2.52,0.9990178346633911
P54578,Q9UBS5,1,29.039976,7.912800000000001,0.7934293746948242
O75604,O15151,1,143.753658,6.8162,0.9960687160491943
O75604,O15534,1,5.6406,2.38,0.8970031142234802
O75604,P08253,1,16.537752,7.912800000000001,0.8373582363128662
O75604,P24385,1,18.522,2.52,0.9839624762535095
O75604,P25445,1,9.0228,4.38,0.026447700336575508
O75604,P37088,1,5.4963,1.97,0.40561118721961975
O75604,Q00987,1,61.54496712,7.912800000000001,0.9759089350700378
O75604,Q03431,1,3.315,1.5,0.9820873141288757
O75604,Q96EB6,1,239.0176404,17.8959,0.768574595451355
P12956,Q07820,1,8.388,1.0,0.3788105249404907
Q9H9J4,P04637,1,82.566172,33.4276,0.8650768399238586
Q9H9J4,P14780,1,29.349276,17.8959,0.9305713772773743
Q9H9J4,P62807,1,71.833752,45.464400000000005,0.9675758481025696
Q53GS9,Q96GD4,1,6.489,3.15,0.8806811571121216
Q8TEY7,O43303,1,3.5938,2.38,0.002396841300651431
Q8TEY7,P07550,1,81.0744,16.28,0.9943000078201294
Q8TEY7,P11234,1,2.55,1.0,0.11297177523374557
Q8TEY7,P49407,1,8.115,1.5,0.7341506481170654
Q8TEY7,Q92813,1,18.522,1.5,0.9932563304901123
Q504Q3,Q9Y294,1,1.85,1.85,0.5475254654884338
O00487,O95863,1,3.9597,1.97,0.8120585680007935
O00487,P04626,1,10.9335,1.97,0.7633774876594543
O00487,Q01860,1,6.489,3.15,0.8697592616081238
Q6GQQ9,P00533,1,102.19794552,11.8792,0.9037498831748962
Q6GQQ9,P43403,1,136.81337868,15.9028,0.791002094745636
Q6GQQ9,Q13114,1,832.0761612,59.72409999999999,0.9043861031532288
Q6GQQ9,Q13546,1,217.55978244,14.2857,0.7923446297645569
Q6GQQ9,Q9Y4K3,1,218.9215791,18.0049,0.7748078107833862
Q14694,P04637,1,142.826838,38.4978,0.9733721613883972
Q14694,P0C0S5,1,18.40374,6.8162,0.8251628279685974
Q14694,P13569,1,4.2365,1.85,0.9995961785316467
Q14694,P43246,1,15.876,2.52,0.9502390623092651
Q14694,P54646,1,9.198,2.52,0.9133971333503723
Q14694,P60484,1,9.198,2.52,0.9943150877952576
Q14694,P62807,1,12.897864,7.912800000000001,0.978661060333252
Q14694,Q03518,1,3.1126,1.97,0.9995819926261902
Q14694,Q14457,1,70.33404,12.6728,0.9495285153388977
Q14694,Q8N6T7,1,13.223428,6.8162,0.7312080264091492
Q14694,Q9UL17,1,2.565,1.5,0.008244183845818043
Q14694,Q9Y4K3,1,108.869768,22.8718,0.9152156710624695
Q14694,Q9Y6K9,1,24.181905,10.3785,0.8456143140792847
Q93008,A5PKW4,1,25.5936,2.48,0.3409064710140228
Q93008,O00327,1,14.805414,3.6738,0.8747971057891846
Q93008,O60285,1,6.94,1.0,0.8784279823303223
Q93008,P04637,1,1160.22310524,123.6938,0.9849076271057129
Q93008,P12830,1,8.6025,1.85,0.9987670183181763
Q93008,P23588,1,3.4272,2.52,0.18447673320770264
Q93008,P33981,1,13.986,3.15,0.8345134854316711
Q93008,P35222,1,163.82888928,19.3158,0.9926841855049133
Q93008,P37840,1,4.6,1.0,0.0022176355123519897
Q93008,P42345,1,16.6374,1.17,0.2903195321559906
Q93008,P42566,1,22.53286,1.97,0.935357928276062
Q93008,P46937,1,28.88172,7.912800000000001,0.8032833933830261
Q93008,P48431,1,16.077,6.9,0.19071350991725922
Q93008,P50542,1,30.409005,10.3785,0.035279590636491776
Q93008,Q07820,1,11.3841,1.17,0.9956647753715515
Q93008,Q12809,1,4.2365,1.85,0.22494004666805267
Q93008,Q13485,1,11.480175,1.97,0.6669694781303406
Q93008,Q15051,1,8.778,4.18,0.0020287614315748215
Q93008,Q15154,1,9.198,2.52,0.9984660148620605
Q93008,Q15797,1,11.245338,1.17,0.8200429677963257
Q93008,Q53EZ4,1,2.7963,1.17,0.9731361865997314
Q93008,Q86YR5,1,5.292,2.52,0.017793217673897743
Q93008,Q86YT6,1,5.319,1.97,0.8522553443908691
Q93008,Q96J02,1,23.8567,6.8162,0.6763026714324951
Q93008,Q96L34,1,2.457,1.17,0.8947064280509949
Q93008,Q96RU7,1,2.457,1.17,0.8489596247673035
Q93008,Q99683,1,31.74,6.9,0.8791621923446655
Q93008,Q9H992,1,37.82991,6.8162,0.842877209186554
Q93008,Q9HCE7,1,114.379524,7.912800000000001,0.9511501789093018
Q93008,Q9NRM7,1,5.6736,1.97,0.8996291160583496
Q9H0E7,P0C0S8,1,76.773,47.1,0.9098201990127563
Q9H0E7,Q01860,1,10.4155,10.4155,0.8832099437713623
Q9H0E7,Q12834,1,23.484412,11.4002,0.46803614497184753
Q9H0E7,Q13257,1,2.06,1.0,0.6304467916488647
Q96BN8,Q9Y6K9,1,11.454,3.32,0.7775849103927612
Q9Y5E6,P19838,1,1.58,1.0,0.78912353515625
Q9UMW8,P49116,1,6.6576,4.38,0.8960577845573425
Q9UMW8,P60484,1,18.40374,6.8162,0.9776945114135742
Q9UMW8,Q9Y6K9,1,260.813792,96.9568,0.796219527721405
Q70EK9,P37275,1,3.7604,2.38,0.9643946886062622
Q70EK9,P62807,1,16.61688,7.912800000000001,0.9681953191757202
Q9HBJ7,P04637,1,676.9728,193.4208,0.8666192889213562
Q9HBJ7,Q9HAW4,1,10.0408,6.16,0.9999856948852539
Q92560,O15294,1,4.08,4.08,0.651139497756958
Q92560,P0C0S8,1,1.52,1.0,0.8502378463745117
Q92560,P16104,1,7.74,1.0,0.8798946142196655
Q92560,P25490,1,7.315,1.0,0.9725825190544128
Q92560,P38398,1,18.5518,1.85,0.9443536996841431
Q92560,P51610,1,2.4453,1.17,0.9685726165771484
Q92560,Q13887,1,8.3349,2.43,0.8016936182975769
Q92560,Q96CW5,1,1.0,1.0,0.8850317597389221
Q86T82,P01106,1,57.882132,7.912800000000001,0.9275872111320496
Q86T82,P0C0S8,1,22.304544,14.1168,0.9522266387939453
Q86T82,P20248,1,6.489,3.15,0.9844980835914612
Q86T82,P46527,1,3.034,1.85,0.9882750511169434
Q9Y2K6,O75943,1,2.28,1.5,0.41175806522369385
Q9Y2K6,P07550,1,48.432075,10.4155,0.9187260270118713
Q9Y2K6,Q16665,1,8.4735,3.15,0.7972349524497986
Q9Y2K6,Q86WV6,1,23.234374,14.7053,0.9609978795051575
Q9Y2K6,Q92813,1,18.522,1.5,0.9888086915016174
Q9Y2K6,Q9HAW4,1,6.3242,3.07,0.9988201260566711
Q9Y2K6,Q9Y4K3,1,81.12636,6.57,0.9175406694412231
Q70CQ3,O94826,1,7.686,3.15,0.09544149786233902
Q70CQ3,O95140,1,23.265,1.5,0.9959938526153564
Q70CQ3,P21796,1,22.3693,4.79,0.9363259673118591
Q70CQ3,Q15388,1,4.26,1.0,0.8446581959724426
Q70CQ3,Q8IWA4,1,8.51,1.85,0.9990677237510681
P46736,O95271,1,4.5507,1.97,0.6681966781616211
P46736,P0C0S8,1,13.482846,3.6738,0.9113195538520813
P46736,P16104,1,194.8224222,23.2785,0.7455387115478516
P46736,Q14980,1,2.457,1.17,0.22317074239253998
Q70EL3,P30291,1,4.284,3.15,0.9090567231178284
Q70EL3,Q9ULZ3,1,2.93,1.0,0.8368954062461853
Q96RU2,O60341,1,7.1424,2.48,0.8966522812843323
Q96RU2,O96017,1,18.522,1.5,0.8599377274513245
Q96RU2,P01106,1,101.08602,7.912800000000001,0.7978399991989136
Q96RU2,P05412,1,24.5196,2.52,0.560536801815033
Q96RU2,P24864,1,2.79,1.0,0.963489830493927
Q96RU2,Q12888,1,77.956992,13.14,0.9746825098991394
Q96RU2,Q16665,1,98.07706062,11.4002,0.6381312608718872
Q96RU2,Q969H0,1,38.476185,17.8959,0.6146525144577026
Q96RU2,Q9HAW4,1,18.94224,2.48,0.9999805688858032
Q96DC9,Q13114,1,148.5792,42.4512,0.8784990310668945
Q96DC9,Q9Y4K3,1,237.659136,43.9296,0.8749028444290161
Q93009,O14773,1,8.4735,3.15,0.5767489075660706
Q93009,O14965,1,51.818949,3.6738,0.6200953125953674
Q93009,O15151,1,23.3376,4.29,0.9957848191261292
Q93009,O43524,1,185.899021,18.7682,0.6733346581459045
Q93009,O43663,1,21.68964,3.15,0.9996254444122314
Q93009,O43684,1,19.09644,10.3785,0.6911815404891968
Q93009,O60341,1,103.35654,23.2785,0.9134140014648438
Q93009,P04198,1,178.0614,38.709,0.9235446453094482
Q93009,P04637,1,950.4698112,193.4208,0.8539133071899414
Q93009,P06400,1,179.4600852,17.8959,0.9994637370109558
Q93009,P08151,1,21.8688,4.08,0.6454086899757385
Q93009,P12004,1,18.522,1.5,0.9963197708129883
Q93009,P14373,1,269.656569,19.1178,0.5547094941139221
Q93009,P19838,1,68.056002,6.57,0.870643675327301
Q93009,P26358,1,58.2528,13.12,0.8840737342834473
Q93009,P29590,1,133.7506212,18.3736,0.9113798141479492
Q93009,P35222,1,360.5451528,35.898,0.9678434729576111
Q93009,P35226,1,80.38548,6.51,0.9127660989761353
Q93009,P35568,1,4.9848,2.48,0.9445957541465759
Q93009,P37231,1,60.4808,3.46,0.7159371972084045
Q93009,P51965,1,7.38,1.0,0.4077012538909912
Q93009,P60484,1,9.198,2.52,0.9931948184967041
Q93009,P62807,1,527.444992,96.9568,0.9926177859306335
Q93009,P98177,1,226.4860899,13.671,0.8666462302207947
Q93009,Q00987,1,67.98232,18.3736,0.9957848191261292
Q93009,Q01831,1,10.0566,3.33,0.9987320303916931
Q93009,Q01860,1,80.32959,10.3785,0.8774952292442322
Q93009,Q03468,1,210.1172724,13.797,0.6510334014892578
Q93009,Q04206,1,19.600308,2.52,0.9445712566375732
Q93009,Q12778,1,308.808672,17.6664,0.8666463494300842
Q93009,Q12888,1,41.123544,2.38,0.999966025352478
Q93009,Q13127,1,11.8349,3.19,0.9622237682342529
Q93009,Q13546,1,98.1042864,8.5808,0.8847560882568359
Q93009,Q14527,1,24.181905,10.3785,0.9382117986679077
Q93009,Q14669,1,24.8248,6.16,0.9765673279762268
Q93009,Q16526,1,23.50048,2.48,0.6853886842727661
Q93009,Q49AN0,1,6.8635,1.85,0.6853886842727661
Q93009,Q8IXJ9,1,23.184,6.9,0.5520533323287964
Q93009,Q8IYW5,1,41.5473,1.97,0.8029131889343262
Q93009,Q92993,1,8.242065,1.17,0.9878520965576172
Q93009,Q96EP1,1,8.5995,1.17,0.7405120730400085
Q93009,Q96T88,1,10.3994,3.19,0.9375599026679993
Q93009,Q99496,1,198.349056,11.3472,0.9065622091293335
Q93009,Q9BZS1,1,9.39689,4.033,0.669123649597168
Q93009,Q9H992,1,5.8786,2.38,0.96936226189136505
Q93009,Q9HAW4,1,52.3032,2.48,0.9999966621398926
Q93009,Q9NRC8,1,60.130224,17.8959,0.513408899307251
Q93009,Q9UER7,1,5.884866,1.17,0.9039456248283386
Q93009,Q9UPP1,1,12.5496,2.52,0.5341686606407166
Q93009,Q9Y4H2,1,26.4114,13.14,0.9996829032897949
Q93009,Q9Y6K9,1,66.2916309,10.3785,0.84098881483078
O75317,O60346,1,3.15,3.15,0.6441679000854492
O75317,P0C0S8,1,23.234374,14.7053,0.9514263272285461
O75317,P10275,1,203.561984,75.6736,0.7336933612823486
O75317,P62807,1,18.012316,11.4002,0.9925768971443176
Q70CQ2,Q8IYW5,1,2.28,1.5,0.5304516553878784
O95630,P17302,1,8.6025,1.85,0.284748911857605
O95630,P55085,1,16.50285,1.17,0.03042769618332386
Q5T2D3,P60484,1,1.84,1.0,0.9971000552177429
P62068,O60346,1,3.15,3.15,0.9371355772018433
P62068,P42261,1,53.238934,11.4002,0.9344643354415894
Q5VVJ2,P0C0S8,1,20.234067,10.0667,0.7279226183891296
Q5D1E8,Q9Y297,0,2.37,1.0,0.6878501772880554
Q9UPT9,O75478,0,6.696,2.48,0.09667470306158066
Q9UPT9,P49848,0,5.6406,2.38,0.518143892288208
